Nehézség;Kérdés;A;B;C;D;Válasz;Kategória
8;Kik voltak az orosz történelemből ismert dekabristák?;egy kommunista sejt;egy festőcsoport;romantikus zeneszerzők;cárellenes összeesküvők;D;TÖRTÉNELEM
9;Milyen színű trikót visel a szakasz-győztes a Tour de France kerékpárversenyen?;kék;lila;piros;sárga;D;SPORT
10;Hol végezte szabadesés-kísérleteit Galilei?;a páduai templomban;a milánói dómban;a velencei harangtoronyban;a pisai ferde toronyban;D;TUDOMÁNY
11;Hol született Erkel Ferenc?;Pápán;Makón;Turán;Gyulán;D;OPERA
12;Mi a növényi sejtfalakat felípítő szénhidrát neve?;laktóz;cellulóz;maltóz;glükóz;B;BIOLÓGIA
13;Melyik olimpián lett újra versenyszám az íjászat?;Tokióban;Mexikóban;Montreálban;Münchenben;D;SPORT
1;Mi nem kell a "jó bornak" a szólás szerint?;cégér;hordó;kocsmáros;szőlő;A;ÁLTALÁNOS
2;Hogy nevezik a völgyet, vagy szakadékot átívelő hidat?;viador;viadukt;pontusz;apszis;B;ÁLTALÁNOS
3;Melyik nem a Toldi-trilógia része?;Toldi;Toldi estéje;Toldi szerelme;Toldi a rengetegben;D;IRODALOM
4;Kiknek a virága a mirtusz az illem szerint?;vőlegények;menyasszonyok;első bálozó lányok;idős asszonyok;B;ÁLTALÁNOS
5;Milyen ciklusokban váltakoznak az állatövi jegyek a kínai asztrológiában?;havonta;három hetente;évente;évtizedenként;C;ÁLTALÁNOS
6;Mit szeretne enni József Attila a De szeretnék gazdag lenni kezdősorú versében?;libasültet;csirkecombot;pulykamellet;kacsalábat;A;IRODALOM
7;Hogyan ábrázolják Justitiát, az igazság istennőjét?;lándzsával a kezében;törvénykönyvvel a kezében;bekötött szájjal;bekötött szemmel;D;VALLÁS
8;Melyik országban játszódik Puccini Pillangókisasszony című operája?;Kínában;az Egyesült Államokban;Japánban;Olaszországban;C;OPERA
9;Mi Firenze folyója?;Arno;Adige;Pó;Reno;A;FÖLDRAJZ
10;Melyik állat tetteti magát halottnak vészhelyzetben?;pávián;oposszum;ugróegér;gekkó;B;BIOLÓGIA
1;Melyik ma született állat ártatlan a szólás szerint?;pitbull;kisnyúl;polip;bárány;D;ÁLTALÁNOS
2;Melyik híres város börtöne volt a Tower?;Los Angeles;London;Washington;Velence;B;ORSZÁGOK
3;Milyen sportolóról szól Sylvester Stallone Rocky című filmje?;sakkozóról;gátfutóról;bokszolóról;zsokéról;C;FILM
4;Milyen ruhadarabot neveznek tütünek?;a csaposok kötényét;a kisbabák előkéjét;a balett-táncosok szoknyáját;a borivók gallérját;C;ÁLTALÁNOS
5;Mire használják a kaucsukfa tejnedvét?;üdítőital készítésére;gumigyártásra;állatok etetésére;papírgyártásra;B;TECHNIKA
6;Ki adott ki ukázt?;Gutenberg János;II. András;az orosz cár;Batu kán;C;TÖRTÉNELEM
7;Hol vannak planktonok?;a tengerekben;az őserdők fáin;a magas sziklákon;a tavaszi réteken;A;BIOLÓGIA
8;Melyik évben omlott le a berlini fal?;1989-ben;1990-ben;1988-ban;1991-ben;A;TÖRTÉNELEM
9;"Isa por és homu vogymuk."-mondja a Halotti beszéd. Mit jelentett a XII. században az "isa" szó?;lehet;hiszen;csak;bizony;D;NYELV
10;Hol írta alá szeptember elején a japán küldöttség a kapitulációs okmányokat?;a Lincoln hadihajón;a Missouri hadihajón;Pearl Harborban;Okinava szigetén;B;TÖRTÉNELEM
11;Mely európai ország gyarmata volt az 1910-es évek elején a mai Líbia?;Hollandia;Franciaország;Olaszország;Nagy-Britannia;C;TÖRTÉNELEM
12;Ki vagy mi volt a mitológia szerint Romolus és Remus édesanyja?;egy farkas;Juno;Minerva;Rhea Silvia;D;VALLÁS
13;Hogy nevezik a buddhista szerzetesrendet?;hinajána;szangha;dharma;mahájána;B;VALLÁS
1;Hova estek az "istenek" a nagy sikerű vígjáték címe szerint?;orra;a fenekükre;talpra;a fejükre;D;FILM
2;Mit értettek régen egy ember országlása alatt?;országjárást;uralkodást;okoskodást;térképkészítést;B;NYELV
3;Melyik gázlómadár az alábbiak közül?;sólyom;ölyv;gulipán;cinke;C;BIOLÓGIA
4;Melyik híd átadása nyomán írta Arany János a Hídavatás című balladáját?;Lánchíd;Ferenc József híd;Margit híd;Erzsébet híd;C;IRODALOM
5;Kik hordtak régen kakastollas fejfedőt?;tűzoltók;betyárok;csendőrök;orvosok;C;ÁLTALÁNOS
6;Melyik opera bordalában hallhatjuk a "Gondold meg és igyál!" kezdetű sorokat?;Verdi: Traviata;Erkel: Bánk bán;Bizet: Carmen;Gounod: Faust;B;OPERA
7;Melyik városban lőtték le John Fitzgerald Kennedyt?;Las Vegasban;Chicagóban;Bostonban;Dallasban;D;TÖRTÉNELEM
8;Hány csapással sújtotta az Úr Egyiptomot?;száz;tizenkettő;tíz;hét;C;VALLÁS
9;Melyik állat lehet kilencöves?;tatu;hangyász;medúza;teknős;A;BIOLÓGIA
10;Mi a pontos címe Kemény Zsigmond regényének?;Özvegy és leánya;Az özvegy meg a lánya;Egy asszony meg a lánya;A leányanya;A;IRODALOM
1;Mit keres a kákán az akadékoskodó ember?;egy kisebb vagyont;gumót;csomót;masnit;C;NYELV
2;Melyik hidunk építését vezette Clark Ádám?;Margit híd;Lánchíd;Erzsébet híd;Szabadság híd;B;TECHNIKA
3;Milyen "embert" játszott Dustin Hoffman a nagy sikerű film címe szerint?;elő;erő;kidobó;eső;D;FILM
4;Mi volt a neve a kétnyomásos földművelés során vetetlenül hagyott földnek?;parlagtábla;ugar;senki rétje;néma barázda;B;TÖRTÉNELEM
5;Hogy nevezik a cselgáncsban a hagyományos küzdőszőnyeget?;cukahara;cunami;tatami;ikebana;C;SPORT
6;Kinek a vígjátéka alapján készült a "My Fair Lady" című musical?;Shakespeare;Oscar Wilde;G.B.Shaw;Neil Simon;C;IRODALOM
7;Hol folyik a Maros a Tiszába?;Makónál;Szegednél;Battonyánál;Hódmezővásárhelynél;B;FÖLDRAJZ
8;Melyik égitestre szállt le a Surveyor-1?;a Marsra;a Holdra;a Vénuszra;az Ióra;B;TUDOMÁNY
9;Melyik hónapban van a Föld legközelebb a Naphoz?;január;március;július;szeptember;A;TUDOMÁNY
10;Ki volt Keresztelő János apja a Bibliában?;Zakariás;Jonatán;Elizeus;Fülöp;A;VALLÁS
1;Az alábbiak közül melyik ehető?;a krokett;a krikett;a kokott;a zsakett;A;KONYHA
2;Ki volt Antonius szerelme?;Agrippina;Kleopátra;Salome;Antónia;B;IRODALOM
3;Minek a szállításával végzik a méhek a virágok beporzását?;a nektár;a bibe;a pollen;a párta;C;BIOLÓGIA
4;Melyik városban áll a híres vár, a Hradzsin?;Isztambul;Prága;Koppenhága;Bagdad;B;ORSZÁGOK
1;Az alábbiak közül melyik egy apró termetű madár neve?;pávaszem;kecskeszem;ökörszem;tyúkszem;C;BIOLÓGIA
2;Hol található a híres francia egyetem, a Sorbonne?;Párizsban;Nizzában;Rómában;Lyonban;A;ORSZÁGOK
3;Mi a címe a Zenthe Ferenc főszereplésével készült filmsorozatnak: "… kapitánya";Rákóczi;A Tenkes;A Vértes;Thököly;B;FILM
4;Milyen húsból készül a flekken?;sertés;marha;kacsa;csirke;A;KONYHA
5;Kit neveztek árvízi hajósnak?;Vasvári Pált;Noét;Széchenyi Istvánt;Wesselényi Miklóst;D;TÖRTÉNELEM
6;Az alábbi történelmi alakok közül kit nem Ádám személyesít meg Az ember tragédiájában?;Miltiadész;Kepler;Michelangelo;Danton;C;IRODALOM
7;Hol őrzik Budapesten a Szent Jobbot?;a Nemzeti Múzeumban;az Országházban;a Bazilikában;a Mátyás-temploban;C;VALLÁS
8;A csicsóka melyik része ehető?;a virágzata;a levele;a gyökérgumója;a magja;C;BIOLÓGIA
1;Hogyan szól a mondás? "Nomen est …";show-man;omen;Truman;bitumen;B;NYELV
2;Mit csinálnak az indiánok a mokaszínnal?;vadásznak vele;járnak benne;meglovagolják;elszívják;B;NYELV
3;Melyik város nevezetessége a Trevi-kút?;Firenze;Velence;Róma;Nápoly;C;ORSZÁGOK
4;Hol imádkoznak a buddhista szerzetesek?;dzsámiban;pagonyban;pagodában;minaretben;C;VALLÁS
5;Kit szeretett "forrón" Tony Curtis az 1959-es híres vígjátékban?;Ava Gardnert;Doris Dayt;Marilyn Monroe-t;Anita Ekberget;C;FILM
6;Mely állam mely korszakát nevezzük viktoriánus kornak?;Franciaország, XVII. század;Anglia, XIX. század;Németország, XX. század;Spanyolország, XVIII. század;B;TÖRTÉNELEM
7;Hol haladhat át a gyalogos a KRESZ szerint?;híd úttestjén;felüljáró úttestjén;főútvonalon;autópályán;C;ÁLTALÁNOS
8;Hogy hívták Indira Gandhi fiát, aki később szintén merénylet áldozata lett?;Karamcsand Gandhi;Radzsiv Gandhi;Csaran Szingh;Csandra Sékhar;B;TÖRTÉNELEM
9;Mi volt a Rigoletto című opera alapjául szolgáló színmű címe?;A herceg szerelmes;A bolond leánya;A király mulat;A bérgyilkos vallomása;C;OPERA
10;Kit neveztek régen kurírnak?;az utcai hírlapárust;a kisbírót;a vándordalnokot;a futárt;D;NYELV
1;Mire használják a hidegvágót?;fagylaltkészítésre;időjárás-előrejelzésre;fémvágásra;nádaratásra;C;TECHNIKA
2;Mit jár be a messze vidékeket bebarangoló ember?;Kisalföldet-Nagyalföldet;Tolnát-Baranyát;Makót-Jeruzsálemet;Hencidát-Boncidát;B;ÁLTALÁNOS
3;Melyik állat lakik dúcban?;galamb;fecske;veréb;párduc;A;BIOLÓGIA
4;Hány kerülete van Budapestnek?;22;20;23;25;C;ÁLTALÁNOS
5;Ki készítette a firenzei Dávid szobrot?;Michelangelo;Leonardo;Amerigo Tot;Caravaggio;A;KÉPZŐMŰVÉSZET
6;Melyik atlétának állítottak még életében szobrot hazájában?;Al Oerter;Paavo Nurmi;Emil Zátopek;Jesse Owens;B;SPORT
7;Mikből áll egy számítógép szoftvere?;chipekből;mágneslemezekből;mechanikus építőelemekből;programokból és adatokból;D;ÁLTALÁNOS
8;Kinek a lánya volt Marie Antoinette?;XVI. Lajos;I. Frigyes;Mária Terézia;II. József;C;TÖRTÉNELEM
9;Melyik városunkban látható a Ferenczy-művészcsalád múzeuma?;Vácott;Győrött;Szentendrén;Pécsett;C;MAGYARORSZÁG
1;Hogy szól a mondás: "..., vedd el a lányát.";Kérd meg az anyját;Kerüld az apját;Nézd meg az anyját;Számold a pénzét;C;NYELV
2;Melyik állat jelzője a "kacagó"?;hiéna;koala;cerkófmajom;lajhár;A;BIOLÓGIA
3;Hol található zsinórpadlás?;mosodákban;kolostorokban;színházakban;varrodákban;C;ÁLTALÁNOS
4;Melyik játékban játszik nagy szerepet a blöffölés?;a pókerban;a biliárdban;a rulettben;a huszonegyben;A;JÁTÉK
5;Melyik kosárlabdacsapatban kezdte NBA-beli szereplését Dávid Kornél?;Utah Jazz;Los Angeles Lakers;Chicago Bulls;Orlando Magic;C;SPORT
6;Ki volt az első köztársasági elnök Magyarországon a II. világháború után?;Nagy Ferenc;Szakasits Árpád;Dobi István;Tildy Zoltán;D;TÖRTÉNELEM
7;Kinek a nevéhez fűződik a Julianus-naptár?;Julianus barát;Julius Caesar;Justinianus császár;Gergely pápa;B;TÖRTÉNELEM
8;Melyik magyar rock-együttes slágerei voltak a "Szállj fel magasra!" és a "Kóbor angyal"?;Beatrice;Piramis;Korál;Edda;B;ZENE
9;Melyik megyénkben van a Szelidi-tó?;Békés megyében;Bács-Kiskun megyében;Baranya megyében;Csongrád megyében;B;FÖLDRAJZ
1;Az alábbiak közül melyik női név egy népszerű sorozat címe is?;Eufrozina;Esmeralda;Emerencia;Eulália;B;ÁLTALÁNOS
2;Min utazhatunk kajütben ülve?;vonaton;hajón;repülőn;metrón;B;ÁLTALÁNOS
3;Mi a címe a Whitney Houston főszereplésével készült filmnek? "Több, mint ...";testvér;testőr;csendőr;festő;B;FILM
4;Melyik felfogás tekintette a Földet a világegyetem középpontjának?;geocentrikus;heliocentrikus;centrifugális;univerzális;A;TUDOMÁNY
5;Hogy nevezik a sakkban a király és a bástya speciális helycserélyét?;koronázás;ostrom;kitörés;sáncolás;D;JÁTÉK
6;Hogyan folytatódott Oliver Cromwell új mintájú hadseregének a jelszava? "Bizz Istenben és ...";nyergeld a lovadat!;ne higgy a királyoknak!;tartsd szárazon a puskaport!;építs flottát!;C;TÖRTÉNELEM
7;Melyik állat mirigyéből nyertek régen a bíborfestéket?;bíborkagyló;bíborpolip;bíborlepke;bíborcsiga;D;BIOLÓGIA
8;Melyik szövetségi államból származik Bill Clinton amerikai elnök?;Alabama;Oklahoma;Arkansas;Kentucky;C;ÁLTALÁNOS
9;Kitől ered a Tűzföld elnevezése?;Magellántól;Kolumbusztól;Pizarrótól;Toscanellitől;A;TÖRTÉNELEM
10;Ki nem volt VIII. Henrik felesége?;Boleyn Anna;Aquitániai Eleonóra;Catherine Parr;Cleve-i Anna;B;TÖRTÉNELEM
1;Melyik "dió" egy fűszernövény neve?;szaracén;szerecsen;szerelem;szerencse;B;BIOLÓGIA
2;Kik fuvoláznak a Bóbita című Weöres Sándor-versben?;a New York-i filharmónikusok;hetérák;konzervatóriumi diákok;béka-hadak;D;IRODALOM
3;Mit csinál, aki egy rokkát hajt?;kocsikázik;fon;vadászik;őröl;B;ÁLTALÁNOS
4;Milyen személy egy országban, aki "persona non grata"?;igen kedvelt;szigorúan védett;törvények felett álló;nem kívánatos;D;NYELV
5;Mi volt a híres konstantinápolyi börtön, a Héttorony török neve?;Bastille;Tower;Jedikule;Kutikula;C;TÖRTÉNELEM
6;Melyik sportág szakkifejezései a csapásszám, az oldalvíz és a térdeplő?;kenu;evezés;kajak;vitorlázás;A;SPORT
7;Az alábbi helyek közül hova ment hazánkban az, aki a Kúriára ment?;bíróságra;csendőrőrsre;kórházba;országgyűlésre;A;NYELV
8;Melyik bolygó kutatására indították el 1962-ben a Mariner-2 űrszondát?;Uránusz;Mars;Vénusz;Szaturnusz;C;TUDOMÁNY
9;Melyik állattal áll szoros rokonságban a vidra?;fóka;menyét;patkány;hidra;B;BIOLÓGIA
1;Hogyan szól a népi mondóka? "Szebb a ..., mint a ...";veréb-túzok;liba-lúd;páva-pulyka;mama-lánya;C;NYELV
2;Ki vagy mi a papaja?;afrikai ügetőmadár;trópusi gyümölcs;új-zélandi törzs;tibeti szerzetes;B;NYELV
3;Miből van a szervezetünkben: vékony, vastag, patkó?;bél;bőr;ideg;hártya;A;BIOLÓGIA
4;Mi a címe Ternovszky Béla nagy sikerű rajzfilmjének?;Egérfogó;Legszebb egér a bőregér;Macskafogó;Macskakarom;C;FILM
5;Hány ütést szabad vinnie az ultiban annak, aki "betlit" vállal?;mindet;csak az utolsót;egyet sem;csak a kezdőt;C;JÁTÉK
6;Mit jelent az intervenció?;közjáték;beavatkozás;értékcsökkenés;figyelmeztetés;B;NYELV
7;Milyen munkához használták a guzsalyt?;főzéshez;marhatereléshez;szántáshoz;fonáshoz;D;NYELV
8;Mi a neve az Észak-Kínától a Földközi-tengerig húzódó régi kereskedelmi útvonalnak?;karavánút;selyemút;Nagy Sándor-út;borostyánút;B;TÖRTÉNELEM
1;Mi a basszuskulcs?;az erényöv nyitója;jel a kottán;káromkodás;titkosírás kódja;B;NYELV
2;Melyik anyag nem szükséges a beton előállításához?;homok;sóder;szurok;cement;C;TECHNIKA
3;Milyen állatok szerepelnek Alfred Hitchcock klasszikus filmjének címében?;farkasok;madarak;szúnyogok;nyulak;B;FILM
4;Mit árult a rőfös?;zöldséget;húsárut;méterárut;vasárut;C;ÁLTALÁNOS
5;Az alábbiak közül melyik anyag készül vulkanizálással?;gumi;acél;alumínium;üveg;A;TECHNIKA
6;Az alábbi vízi járművek közül melyiknek nincs vitorlája?;kílbót;fregatt;bark;brigg;A;TECHNIKA
7;Melyik operában hangzik fel a híres Torreádordal?;Bizet: Carmen;Verdi: A trubadúr;Rossini: A sevillai borbély;Puccini: Tosca;A;OPERA
8;Melyik város volt az inka kultúra egyik központja?;Tenochtitlan;Viracocha;Machu Picchu;Quetzalcoatl;C;TÖRTÉNELEM
1;Hogyan folytatódik a mondás? "Láttam én már ...";sapkán bojtot;karón varjút;labdán pöttyöt;zoknin lyukat;B;NYELV
2;Hol rendezik meg minden év júliusában az Anna-bált?;Balatonalmádiban;Balatonfüreden;Tihanyban;Badacsonyban;B;ÁLTALÁNOS
3;Mi Napóleon fiának közismert neve?;Medvebocs;Sasfiók;Császárpingvin;Őzgida;B;TÖRTÉNELEM
4;Hol található az angol királyok Londonhoz közel fekvő nyári rezidenciája?;Greenwich;Wimbledon;Westminster;Windsor;D;ÁLTALÁNOS
5;Melyik anyag fagyás- és forráspontja között osztotta be hőmérsékleti skáláját Anders Celsius?;higany;olaj;alkohol;víz;D;TUDOMÁNY
6;Melyik sportágban lett kétszeres olimpiai bajnok Gyulai Zsolt?;kajakozás;birkózás;vívás;úszás;A;SPORT
7;Hol alszik a rét József Attila Altató című versében?;dunna alatt;takaró alatt;paplan alatt;a csillagos ég alatt;A;IRODALOM
8;Az alábbi női nevek közül melyik nem növénynév?;Amarillisz;Erika;Xénia;Georgina;C;BIOLÓGIA
1;Mi a híres szovjet film címe: "Szállnak a ...";varjak;partizánok;darvak;vörös csillagok;C;FILM
2;Milyen virágzatban fejlődik a tűlevelű növények magjai?;tobozban;dobozban;gubóban;bogasban;A;BIOLÓGIA
